timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1644399817624,26,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-17,text,true,,580,116,10,10,http://www.amazon.com/,26,0,14
1644399817651,1047,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-17,text,true,,72307,116,10,10,https://www.amazon.com/,652,0,44
1644399818033,728,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-21,text,true,,74799,232,10,10,https://www.amazon.com/,29,0,18
1644399818033,29,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-21,text,true,,580,116,10,10,http://www.amazon.com/,29,0,18
1644399818063,698,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-21,text,true,,74219,116,10,10,https://www.amazon.com/,293,0,56
1644399818128,715,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-22,text,true,,72412,232,10,10,https://www.amazon.com/,27,0,13
1644399818128,27,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-22,text,true,,580,116,10,10,http://www.amazon.com/,27,0,13
1644399818156,687,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-22,text,true,,71832,116,10,10,https://www.amazon.com/,301,0,56
1644399817426,1457,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-15,text,true,,71858,232,9,9,https://www.amazon.com/,33,0,16
1644399817426,33,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-15,text,true,,580,116,9,9,http://www.amazon.com/,33,0,16
1644399817460,1423,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-15,text,true,,71278,116,9,9,https://www.amazon.com/,879,0,52
1644399818222,696,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-23,text,true,,73129,232,8,8,https://www.amazon.com/,38,0,19
1644399818222,38,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-23,text,true,,580,116,8,8,http://www.amazon.com/,38,0,19
